time,y
2001-04-06 00:00:00,4.090909091
2001-04-09 00:00:00,4.423076923
2001-04-10 00:00:00,3.620689655
2001-04-11 00:00:00,3.695652174
2001-04-12 00:00:00,4.772727273
2001-04-13 00:00:00,6.111111111
2001-04-16 00:00:00,7.5
2001-04-17 00:00:00,6.666666667
2001-04-18 00:00:00,9.444444444
2001-04-19 00:00:00,10.83333333
2001-04-20 00:00:00,10.90909091
2001-04-23 00:00:00,13.52941176
2001-04-24 00:00:00,13.84615385
2001-04-25 00:00:00,14.41176471
2001-04-26 00:00:00,14.33333333
2001-04-27 00:00:00,15.3125
2001-05-01 00:00:00,14.33333333
2001-05-02 00:00:00,12.66666667
2001-05-07 00:00:00,13.68421053
2001-05-08 00:00:00,13.86363636
2001-05-09 00:00:00,12.5
2001-05-10 00:00:00,13.23529412
2001-05-11 00:00:00,13.82352941
2001-05-14 00:00:00,15.5
2001-05-15 00:00:00,14.6875
2001-05-16 00:00:00,15.66666667
2001-05-17 00:00:00,14.31818182
2001-05-18 00:00:00,15.22727273
2001-05-21 00:00:00,15.66666667
2001-05-22 00:00:00,16.15384615
2001-05-23 00:00:00,17.94117647
2001-05-24 00:00:00,13.92857143
2001-05-25 00:00:00,11.15384615
2001-05-28 00:00:00,13.33333333
2001-05-29 00:00:00,14.33333333
2001-05-30 00:00:00,14.61538462
2001-05-31 00:00:00,15.25
2001-06-01 00:00:00,11.66666667
2001-06-04 00:00:00,15.55555556
2001-06-05 00:00:00,16.9047619
2001-06-06 00:00:00,17.08333333
2001-06-07 00:00:00,14.34782609
2001-06-08 00:00:00,11
2001-06-11 00:00:00,8.333333333
2001-06-12 00:00:00,8.333333333
2001-06-13 00:00:00,10
2001-06-14 00:00:00,9.473684211
2001-06-15 00:00:00,8.541666667
2001-06-18 00:00:00,10.47619048
2001-06-19 00:00:00,11.25
2001-06-20 00:00:00,11.66666667
2001-06-21 00:00:00,9.722222222
2001-06-22 00:00:00,9.473684211
2001-06-25 00:00:00,10.76923077
2001-06-26 00:00:00,10.625
2001-06-27 00:00:00,12.22222222
2001-06-28 00:00:00,12.95454545
2001-06-29 00:00:00,14.11764706
2001-07-02 00:00:00,13.33333333
2001-07-03 00:00:00,13.75
2001-07-04 00:00:00,14.5
2001-07-05 00:00:00,14.79166667
2001-07-06 00:00:00,11.25
2001-07-09 00:00:00,13.0952381
2001-07-10 00:00:00,14.09090909
2001-07-11 00:00:00,14.54545455
